Page URL,Source,Followers,Date,Time,Time Zone,Post Type,Interactions,Post Message,Post Link
Facebook.com/Txrebels,Heart of Texas,246612,2017-08-11,17:30:00 , GMT-0400,Facebook,6338,,https://www.facebook.com/txrebels/posts/1314006918721128
Facebook.com/Txrebels,Heart of Texas,222446,2017-06-01,20:00:00 , GMT-0400,Facebook,6329,,https://www.facebook.com/txrebels/posts/1238727922915695
Facebook.com/Txrebels,Heart of Texas,168107,2017-01-05,15:09:00 , GMT-0500,Facebook,6328,,https://www.facebook.com/txrebels/posts/1084069215048234
Facebook.com/Txrebels,Heart of Texas,215789,2017-05-04,18:00:00 , GMT-0400,Facebook,6323,,https://www.facebook.com/txrebels/posts/1203141946474293
Facebook.com/Txrebels,Heart of Texas,202154,2017-04-10,19:00:00 , GMT-0400,Facebook,6320,,https://www.facebook.com/txrebels/posts/1187315771390244
Facebook.com/Txrebels,Heart of Texas,199162,2017-03-29,19:00:00 , GMT-0400,Facebook,6316,,https://www.facebook.com/txrebels/posts/1170776883044133
Facebook.com/Txrebels,Heart of Texas,194687,2017-03-24,16:59:00 , GMT-0400,Facebook,6308,,https://www.facebook.com/txrebels/posts/1167856170002871
Facebook.com/Txrebels,Heart of Texas,164428,2016-12-27,15:59:00 , GMT-0500,Facebook,6305,,https://www.facebook.com/txrebels/posts/1084810038307485
Facebook.com/Txrebels,Heart of Texas,239570,2017-07-19,20:00:00 , GMT-0400,Facebook,6295,,https://www.facebook.com/txrebels/posts/1290149184440235
Facebook.com/Txrebels,Heart of Texas,159622,2016-12-08,13:05:31 , GMT-0500,Facebook,6261,,https://www.facebook.com/txrebels/posts/1067498296705326
Facebook.com/Txrebels,Heart of Texas,172343,2017-01-20,15:59:01 , GMT-0500,Facebook,6237,,https://www.facebook.com/txrebels/posts/1106041789517643
Facebook.com/Txrebels,Heart of Texas,210871,2017-04-18,18:00:00 , GMT-0400,Facebook,6198,,https://www.facebook.com/txrebels/posts/1196894787099009
Facebook.com/Txrebels,Heart of Texas,167106,2017-01-02,18:30:00 , GMT-0500,Facebook,6157,,https://www.facebook.com/txrebels/posts/1081740795281076
Facebook.com/Txrebels,Heart of Texas,250245,2017-08-24,18:00:00 , GMT-0400,Facebook,6090,,https://www.facebook.com/txrebels/posts/1328137973974689
Facebook.com/Txrebels,Heart of Texas,245850,2017-08-07,20:30:00 , GMT-0400,Facebook,6087,,https://www.facebook.com/txrebels/posts/1310211809100639
Facebook.com/Txrebels,Heart of Texas,186855,2017-03-02,18:30:00 , GMT-0500,Facebook,6086,,https://www.facebook.com/txrebels/posts/1146906368764518
